"","VIP","Coefficient"
"discount_rate",0.0665420896129102,507.97391101384
"infection_risk",1.29705562375542,-9901.55887550764
"plants_per_ha",0.944239882032603,7208.20804699059
"fungus_probability_N",0.095328035158663,727.722185018606
"fungus_probability_R",1.14799686078718,-8763.66309801813
"disease_expansion_factor_N",0.0379776906926041,-289.916895976965
"disease_expansion_factor_R",0.0292126758725151,223.005879443589
"detection_factor_N",0.069682201771917,-531.945130789351
"detection_factor_R",0.0558528817969751,426.373848083944
"fungus_fight_effect_N",0.0255498444274578,195.044286632875
"fungus_fight_effect_R",0.00891889091237451,68.0856871946756
"var_CV",0.0562041191704686,429.055149848671
"number_yearly_prophy_application_N",0.0257935445876913,196.904662888394
"number_yearly_prophy_application_R",0.966004991558322,7374.36014521503
"effect_no_prophy_application",0.233724454932271,1784.22298070557
"effect_one_prophy_application",0.167532223193224,1278.91984053044
"effect_two_prophy_application",0.0946973420921086,722.907553774973
"effect_three_prophy_application",0.114767174639449,876.118121579077
"effect_four_prophy_application",0.0202607027575779,154.667646891253
"effect_five_prophy_application",0.0513906228722766,392.309526823198
"effect_six_prophy_application",0.0836123623651254,-638.286218043245
"effect_seven_prophy_application",0.23087734075678,-1762.48847054455
"effect_eight_prophy_application",0.0328987360807384,-251.144797699628
"value_of_saleable_Calluna",4.58059110897791,34967.6542158257
"chance_higher_price_sustainable",0.223683127850245,1707.56875750191
"price_premium_sustainable",0.343151866693544,2619.57802662993
"value_not_saleable_Calluna",0.0513280683064669,391.831993165464
"value_sorted_out_Calluna",0.0974829422473337,-744.172473671566
"value_of_one_new_plant",1.23563342238688,-9432.66954495372
"fertilizer_adjustment",0.0927830637016742,708.294194224425
"costs_normal_fertilizer",0.422069916751113,-3222.02845718496
"costs_staff",3.69259149096126,-28188.7772438709
"costs_more_staff",0.12857740439497,-981.543671959605
"threshold_big_area_more_staff",0.678911673041126,5182.72599784333
"costs_monitoring_per_ha_month",0.029474014095176,225.000902440833
"additional_costs_more_monitoring_per_ha",0.0473732770673539,-361.641616147521
"yearly_costs_of_direct_fungus_fight_N",0.0193681943332621,147.854350261258
"yearly_costs_of_direct_fungus_fight_R",0.0539494399707082,-411.843213496109
"cost_one_prophy_application",0.0977578227767017,-746.270876928465
"detection_factor_MP",0.857531847808749,-6546.28986081346
"fungus_fight_effect_MP",0.395244376664707,3017.24567095117
"amount_of_samples_MP",0.643404250019509,-4911.66681338973
"costs_per_sample_MP",0.201148080917457,-1535.53905431826
"savings_due_to_MP",1.10628143746126,8445.21282301574
"costs_monitoring_plan_per_ha",0.63529619917974,-4849.77097693891
