"","VIP","Coefficient"
"discount_rate",0.0470571614381158,150.163851162589
"infection_risk",2.51188255621329,-8015.65472250506
"plants_per_ha",0.384076962407528,-1225.62589955177
"fungus_probability_N",0.466948298758174,1490.07616890702
"fungus_probability_R",2.57194149029833,-8207.30845943498
"disease_expansion_factor_N",0.139397431632123,-444.830383651196
"disease_expansion_factor_R",0.0176396506025737,56.2897928114172
"detection_factor_N",0.409313440796532,1306.15788807083
"detection_factor_R",0.0366718533569302,117.023351197846
"fungus_fight_effect_N",0.308669762969288,-984.994396779912
"fungus_fight_effect_R",0.0517074833165366,-165.003467940742
"var_CV",0.10325621571656,329.500346697804
"number_yearly_prophy_application_N",0.67250754714563,-2146.03516508534
"number_yearly_prophy_application_R",2.47536816045392,7899.13383338785
"effect_no_prophy_application",0.441048278322177,1407.42675498149
"effect_one_prophy_application",0.227791888434941,726.905452552075
"effect_two_prophy_application",0.0978719988894531,312.318801752386
"effect_three_prophy_application",0.178757012036247,570.430525967459
"effect_four_prophy_application",0.00391353778318936,12.4884690711074
"effect_five_prophy_application",0.0646707307784736,206.370416200426
"effect_six_prophy_application",0.118608681184339,-378.491515502455
"effect_seven_prophy_application",0.0560493900838371,-178.858902940241
"effect_eight_prophy_application",0.268709095047836,-857.476127366105
"value_of_saleable_Calluna",1.74145466190243,-5557.14647174825
"chance_higher_price_sustainable",0.545739008817053,1741.50477396293
"price_premium_sustainable",0.482039045640289,1538.23216896066
"value_not_saleable_Calluna",0.0438307354591707,139.868020821726
"value_sorted_out_Calluna",0.0231899362695984,74.0012791259712
"value_of_one_new_plant",0.052779276672536,-168.423661872307
"fertilizer_adjustment",0.0703327087483934,224.438323213453
"costs_normal_fertilizer",0.07629194252642,243.454801614163
"costs_staff",0.0423910303880506,135.273785823043
"costs_more_staff",0.240818467570318,-768.47449816939
"threshold_big_area_more_staff",1.84870973215927,5899.40754135531
"costs_monitoring_per_ha_month",0.273982895551455,874.305323383977
"additional_costs_more_monitoring_per_ha",0.115733193973877,-369.315563951284
"yearly_costs_of_direct_fungus_fight_N",0.275695504046652,879.77041901051
"yearly_costs_of_direct_fungus_fight_R",0.181621033284085,-579.569888547852
"cost_one_prophy_application",0.228745766891126,729.949368890083
"detection_factor_MP",2.05702240701442,-6564.1529817144
"fungus_fight_effect_MP",0.908907717051452,2900.41045767991
"amount_of_samples_MP",1.07210944868627,-3421.20261321432
"costs_per_sample_MP",0.667139936491452,-2128.90661200776
"savings_due_to_MP",2.85744024246465,9118.36197004226
"costs_monitoring_plan_per_ha",1.52518969595124,-4867.0245186533
