"","VIP","Coefficient"
"discount_rate",0.0497151863194228,91.5561684158243
"infection_risk",0.432967741521853,-797.35932611615
"plants_per_ha",0.15023539164019,-276.675556049415
"fungus_probability_N",0.342897684603418,-631.48507498767
"fungus_probability_R",0.0697161101841446,-128.390143894965
"disease_expansion_factor_N",0.107538768867173,-198.044870442067
"disease_expansion_factor_R",0.05934805596327,109.296193159435
"detection_factor_N",0.712909199277341,1312.90335099733
"detection_factor_R",0.0869241897380224,160.080779018507
"fungus_fight_effect_N",0.339967155981182,-626.088173317405
"fungus_fight_effect_R",0.0111733875846037,20.5770636943502
"var_CV",0.140887056324578,259.459533623901
"number_yearly_prophy_application_N",0.72579109655762,1336.62682956041
"number_yearly_prophy_application_R",0.192702268968953,354.883139298224
"effect_no_prophy_application",0.0140507256778969,25.8760089575987
"effect_one_prophy_application",0.0448180803447487,-82.5375909436076
"effect_two_prophy_application",0.0698360440825421,128.611015805811
"effect_three_prophy_application",0.268493860270545,494.461972476626
"effect_four_prophy_application",0.0845688239722871,-155.743105146726
"effect_five_prophy_application",0.0145668754234186,-26.8265574021956
"effect_six_prophy_application",0.0490549087320765,-90.3401921626153
"effect_seven_prophy_application",0.0695857063084454,128.149990330441
"effect_eight_prophy_application",0.110914666992309,-204.261970692153
"value_of_saleable_Calluna",0.244460082633382,-450.201038224493
"chance_higher_price_sustainable",0.0610479449551312,112.426732021888
"price_premium_sustainable",0.0311392228752064,-57.3464195745447
"value_not_saleable_Calluna",0.00411771726836029,7.5832445500351
"value_sorted_out_Calluna",0.00933015631434501,17.1825437276578
"value_of_one_new_plant",0.0442281019500258,81.4510786469043
"fertilizer_adjustment",0.15280123613498,281.400850432995
"costs_normal_fertilizer",0.0704069582154941,129.662419096783
"costs_staff",0.101209693369848,186.389158273425
"costs_more_staff",0.368312604336664,-678.28953945093
"threshold_big_area_more_staff",3.0951103243763,5699.99758833134
"costs_monitoring_per_ha_month",0.445788946394496,820.971032709612
"additional_costs_more_monitoring_per_ha",0.0204745620531472,37.7062340576169
"yearly_costs_of_direct_fungus_fight_N",0.00851150731752889,-15.6749085164696
"yearly_costs_of_direct_fungus_fight_R",0.077122964875262,142.03070899663
"cost_one_prophy_application",0.0242428319274306,44.6459314979416
"detection_factor_MP",1.22489259922229,-2255.778996485
"fungus_fight_effect_MP",0.174190846073415,320.792249215845
"amount_of_samples_MP",0.611533509488183,-1126.20849144331
"costs_per_sample_MP",0.356213455211784,-656.007580617499
"savings_due_to_MP",4.93329494187254,9085.22357013789
"costs_monitoring_plan_per_ha",2.63315060783189,-4849.24624371167
