"","VIP","Coefficient"
"discount_rate",0.0867410625362473,667.221285708593
"infection_risk",0.207740786909942,-1597.96376575678
"plants_per_ha",1.10923763379812,8532.37138834755
"fungus_probability_N",0.122375950760477,-941.328556727056
"fungus_probability_R",0.0381573223677472,-293.510097121149
"disease_expansion_factor_N",0.0141071479872447,-108.513651349353
"disease_expansion_factor_R",0.0131134394566261,-100.869941853152
"detection_factor_N",0.197364162779373,-1518.14569238675
"detection_factor_R",0.0328916278308067,253.005826406018
"fungus_fight_effect_N",0.0776835009143735,597.549578514483
"fungus_fight_effect_R",0.071873406244173,552.857725283842
"var_CV",0.0974970887700704,749.957759565457
"number_yearly_prophy_application_N",0.330147135443301,2539.52614531829
"number_yearly_prophy_application_R",0.0486584703827678,-374.286021177536
"effect_no_prophy_application",0.0843502524112142,648.830925262604
"effect_one_prophy_application",0.0028993444604329,22.3020595095171
"effect_two_prophy_application",0.0180826671691967,139.093758883
"effect_three_prophy_application",0.115678327473393,889.809740953587
"effect_four_prophy_application",0.00426030380596261,32.7707005172519
"effect_five_prophy_application",0.0940955920147565,723.793092312669
"effect_six_prophy_application",0.0824142661728735,-633.939117515609
"effect_seven_prophy_application",0.128920382774816,-991.669009278174
"effect_eight_prophy_application",0.0644596958790253,495.83069313701
"value_of_saleable_Calluna",5.31125273567912,40854.7091239772
"chance_higher_price_sustainable",0.0268525509159525,-206.552617904701
"price_premium_sustainable",0.0727008005869988,559.222128728607
"value_not_saleable_Calluna",0.00627147915939632,-48.2408707672731
"value_sorted_out_Calluna",0.0571468170181439,-439.579267420965
"value_of_one_new_plant",1.20767306782345,-9289.5469973299
"fertilizer_adjustment",0.0803879039538159,618.352128313742
"costs_normal_fertilizer",0.416446061849705,-3203.34647387479
"costs_staff",3.67709064470441,-28284.5641486289
"costs_more_staff",0.0154743386147856,-119.030224027206
"threshold_big_area_more_staff",0.0356086689203311,-273.905589402558
"costs_monitoring_per_ha_month",0.126191476921841,-970.677981285653
"additional_costs_more_monitoring_per_ha",0.00127993646753362,-9.84540459296571
"yearly_costs_of_direct_fungus_fight_N",0.112769085325882,-867.431547404381
"yearly_costs_of_direct_fungus_fight_R",0.0585985543301422,450.746181999834
"cost_one_prophy_application",0.207169014887287,-1593.56563581771
"detection_factor_MP",0.043842114603844,-337.23811098044
"fungus_fight_effect_MP",0.0532457563018331,409.571902158676
"amount_of_samples_MP",0.101291327313486,-779.14343755003
"costs_per_sample_MP",0.0106948275742609,-82.2657273946602
"savings_due_to_MP",0.0470255157241481,-361.725163897597
"costs_monitoring_plan_per_ha",0.0284469424293364,-218.816843455758
